[1]
Linuxは、配布が無料であることそしてソースが公開されていることから、ユーザーの注目を集めている。	Linux attracts the attention of users because the distribution is free of charge and the source is open to the public.	Unit01の課題文
磁石は鉄片を引きつける。	A magnet attracts a piece of iron.	Unit01のStep5
彼らの実験結果は聴衆の注目を集めた。	Their experimental results attracted the attention of the audience.	Unit01のStep5
スプレーは荷電され、接地されたターゲットに引き寄せられる。	The spray is charged and attracted to the grounded target.	Unit01のStep5
最新の情報は毎週月曜日に集められる。	The latest information is collected every Monday.	Unit01のStep5
そのソフトウェアは無料です。	The software is free of charge.	Unit01のStep5
インターネット電話は、送信のために音声情報をパケットすなわち細かいユニットに分割している。	Internet telephony divides voice data into packets or small units for transmission.	Unit02の課題文
その大学は５つの学部に分けられている。	The university is divided into five faculties.	Unit02のStep5
彼はケーキをふたつに分けた。	He divided the cake in two.	Unit02のStep5
初期値がそれぞれの数に加算される。	An initial number is added to each number.	Unit02のStep5
８から２を引くと６になる。	Subtract two from eight, and you get six.	Unit02のStep5
力は質量に加速度を掛けて算出される。	The force is evaluated by multiplying mass by acceleration.	Unit02のStep5
フラッシュメモリを使うとデータの書き込みや消去が何度でもできる。	Flash memory enables us to write and erase data repeatedly.	Unit03の課題文
車椅子によって身体に障害のある人も動き回ることができる。	A wheelchair enables a disabled person to move about.	Unit03のStep5
彼の回復によって研究を続けることができた。	His recovery enabled him to pursue his study.	Unit03のStep5
ペンキを塗り替えたことで、家がより魅力的に見えるようになった。	New paint on the house made it look more attractive.	Unit03のStep5
必要のないステートメントがそのプログラムから削除された。	Unnecessary statements were deleted from the program.	Unit03のStep5
この式を何度も使いなさい。	Use this equation repeatedly.	Unit03のStep5
適切な有機色素と高分子材料を選ぶことによって、有機EL素子はフルカラー・軽量ディスプレイへの応用が可能である。	Selecting appropriate organic dyes and polymers allows organic EL devices to be applicable to full-color and lightweight displays.	Unit04の課題文
次元解析は多くの問題に適用されている。	A dimensional analysis has been applied to many problems.	Unit04のStep5
あなたの提案はその問題に応用できない。	Your suggestion is not applicable to the problem.	Unit04のStep5
これについては直接または文書で申し込むことができます。	You may apply for this personally or by letter.	Unit04のStep5
一定の電圧を両端子間にかけた。	A constant voltage was applied between the terminals.	Unit04のStep5
私たちは表面に接着剤を10回塗布する。	We apply ten coats of adhesive to the surface.	Unit04のStep5

[2]
人工臓器の要件は次の２点である。元の臓器と代替できること、そして半永久的に使えることである。	Artificial organs must satisfy the following two requirements: they must be interchangeable with the original organs and they must be usable semi-permanently.	Unit05の課題文
結果が必要条件に一致する場合、次の処理が実行される。	If the result satisfies the requirements, the next process is executed.	Unit05のStep5
私はその調査での彼女の進展に満足だった。	I was satisfied with her progress in the research.	Unit05のStep5
従来の抵抗器は新しいトランジスタに置き換わる。	Conventional resistors are replaced with a new transistor.	Unit05のStep5
彼女はこれまで３つの国を訪れた。フランス、イギリス、そしてスペインである。	She has been to three countries: France, England, and Spain.	Unit05のStep5
この装置には交流電源を必要とする。	This device requires a.c. power.	Unit05のStep5
電子レンジはインターネットからレシピのデータを得て、冷蔵庫は食材を自動的に発注する。	Microwave ovens acquire data on recipes over the Internet and refrigerators place orders for food automatically.	Unit06の課題文
私は辞書を発注した。	I placed an order for a dictionary.	Unit06のStep5
このマニュアルには機械の操作法が書いてある。	This manual shows how to operate the machine.	Unit06のStep5
変圧器は電圧を下げたり上げたりする。	A transformer lowers or raises the voltage.	Unit06のStep5
サーモスタットは所定の温度を維持する。	A thermostat maintains the desired temperature.	Unit06のStep5
コンパスで円を描きなさい。	Draw a circle with a compass.	Unit06のStep5
最近開発されたハイブリッドカーは、走行距離がガソリン１リットル当たり30キロメートルを超え、排ガス中の汚染物質を大幅に削減した。	The newly developed hybrid cars exceeded a mileage of 30 km per liter of gasoline and greatly reduced pollutants in their exhaust.	Unit07の課題文
ABCシステムは、コストを下げた。	The ABC system reduced costs.	Unit07のStep5
電力消費がこのデバイスの利用によって減る。	Power consumption is reduced by using this device.	Unit07のStep5
鉄酸化物は水素で鉄に還元される。	Iron oxides are reduced to iron with hydrogen.	Unit07のStep5
生産量は、日産2,000ユニットを超える。	The output exceeds 2,000 units per day.	Unit07のStep5
車はある速度で、ある方向に走る。	Vehicles travel at a certain speed in a certain direction.	Unit07のStep5
インクカートリッジをプラスチック袋から取り出し、保護キャップを取り外します。	Take the ink cartridge out of the plastic bag before removing the protective cap.	Unit08の課題文
フロッピーディスクは通常ドライブから抜いておく。	Floppy disks are commonly removed from their drives.	Unit08のStep5
酸化物層を表面から除去した。	An oxide layer was removed from the surface.	Unit08のStep5
あの役人を解任する必要がある。	That officer must be removed from his position.	Unit08のStep5
こうした珍しい鳥は特別な法律によって守られる。	These rare birds are protected by special laws.	Unit08のStep5
私たちは敵から身を守らなければいけない。	We must protect ourselves against the enemy.	Unit08のStep5

[3]
データを送信する前に、データにある数を足してそのデータを暗号化する。	Adding a certain number to data encrypts the data before transmission.	Unit09の課題文
機密保護のためにデータは暗号化されて送信される。	Data is encrypted for security before transmission.	Unit09のStep5
他の成分を混合物に加えた。	The other ingredients were added to the mixture.	Unit09のStep5
ノブを反時計回りに回しなさい。	Turn the knob counterclockwise.	Unit09のStep5
ネジをネジ回しで締めなさい。	Tighten the screw with a screwdriver.	Unit09のStep5
機構を詳しく説明しなさい。	Illustrate the mechanism.	Unit09のStep5
これらの携帯電子機器は、最先端のCPU、大容量メモリ、およびカラーディスプレイの採用によって、消費電力を増加させてきた。	These portable electronic instruments have increased power consumption due to the employment of a sophisticated CPU, bulk memory, and a color display.	Unit10の課題文
パイロットは自分の計器を調べた。	The pilot studied his instruments.	Unit10のStep5
実験装置を図２に示す。	An experimental apparatus is shown in Figure 2.	Unit10のStep5
車の台数の増加が続いてきた。	An increase in the number of cars has continued.	Unit10のStep5
このビーカーを水で満たしなさい。	Fill this beaker with water.	Unit10のStep5
光は音より速く伝わる。	Light travels faster than sound.	Unit10のStep5
石油に含まれる硫黄が酸素と反応して人体に有害な硫黄酸化物を生じる。	Sulfur contained in petroleum reacts with oxygen to form sulfur oxides harmful to the human body.	Unit11の課題文
ウイルスを含んだビンのひとつが盗まれていた。	One of the bottles containing the virus had been stolen.	Unit11のStep5
ミルクにはビタミンも含まれている。	Milk also contains vitamins.	Unit11のStep5
アルブミンは17のヒスチジン残基を有している。	Albumin contains 17 histidine residues.	Unit11のStep5
代数計算には足し算、引き算、掛け算、そして割り算がある。	Arithmetical operations are addition, subtraction, multiplication, and division.	Unit11のStep5
水素は酸素と反応して水になる。	Hydrogen reacts with oxygen to form water.	Unit11のStep5
インターネットの限られた回線で大量のデータを送るには、データの圧縮技術が欠かせない。	To transmit large volumes of data through a limited circuit over the Internet, the data compression technique is essential.	Unit12の課題文
太陽と地球との間の空間が熱輻射を伝える。	A space between the sun and the earth transmits heat radiation.	Unit12のStep5
先端技術には巨額の投資が必要である。	Advanced technology requires massive investment.	Unit12のStep5
糖尿病を治療する新しい手法が開発された。	A new technique for treating diabetes has been developed.	Unit12のStep5
その仕事には，適切な技術訓練が必要である。	The job requires proper technical training.	Unit12のStep5
実験値は理論値に一致した。	The experimental values agreed with the theoretical values.	Unit12のStep5

[4]
ES細胞は、どんな組織や臓器にもなる遺伝的可能性を秘めている。	ES cells possess the genetic potential to become any tissue and organ.	Unit13の課題文
カメラにフィルムを充填しなさい。	Load the camera with film.	Unit13のStep5
コストを比較しなさい。	Compare the costs.	Unit13のStep5
装置を調整してから操作しなさい。	Adjust the apparatus before operating it.	Unit13のStep5
高温になると金属が軟らかくなる。	High temperatures soften metals.	Unit13のStep5
誤操作で装置がだめになる。	Incorrect operation will damage the machines.	Unit13のStep5
DNAチップは半導体チップの上にDNAの断片を規則正しく並べてつくられる。	DNA chips are fabricated in a regular sequence of DNA fragments on semiconductor chips.	Unit14の課題文
すべての実験は25℃で行われる。（℃の部分は読み方を文字で書いてみよう）	All experiments are performed at 25 degrees centigrade.	Unit14のStep5
